Participant #,Time,Group,Survey,Response,Question
11,Pre,Experimental,AKS,5,4
11,Pre,Experimental,AKS,1,5
11,Pre,Experimental,AKS,3,6
11,Pre,Experimental,AKS,3,7
11,Pre,Experimental,AKS,4,8
11,Pre,Experimental,AKS,1,9
11,Pre,Experimental,AKS,2,10
11,Pre,Experimental,AKS,1,11
11,Pre,Experimental,AKS,4,12
11,Pre,Experimental,AKS,3,13
11,Pre,Experimental,AKS,1,14
11,Pre,Experimental,AKS,4,15
11,Pre,Experimental,AKS,3,16
11,Pre,Experimental,AKS,4,17
11,Pre,Experimental,AKS,2,18
11,Pre,Experimental,AKS,1,19
11,Pre,Experimental,AKS,4,20
11,Pre,Experimental,AKS,1,21
